Tweets,OFF
خيانه,1
اله خذك نمق يتفلسف الادلخ ينفذ اوامر حمد جاسم راس الحيه,1
لوين تبي توصل بتفكيرك القذر ياقذر,1
الكذب بنات,0
انشالله يضلل حصرمه بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران,1
بايع الكليجا عشانه عاجبهم يتحرش حلال تشوف بالشارع وبالغلط ناظر تصوره وتكتب مسخ بالشارع يتحرش فيني ولاتقارنبن خقه الرجال مشاهير لانو مستحيل يوصلها وانتو خاقين مشاهير كوريا وتركيا ومحد تكلم عيب حتي اسم امه جبتوه,1
تتوقع الجميع اخلاقك وردود افعالك الطين رواح تختلف,0
بوسه كوسه نبي عقلي,0
شكو رقي يعني بذرابه,0
طبيعي نفوذ جماعه وسخه صناعه انجليزيه صهيونيه,1
عمليه التدريب البرنامج الجديد ولن تتم والسبب الشخص المسؤول يعرف شيء برنامج اوراكل عرف يعني كلمه اوراكل انا اعرف معناها,1
الله حتي غزل البنات يفتح النفس اخطب ولد مين الناس شاف بنت يتكلم بشرفها ويسوي الحيوان الفحل يقذفها ويشتمها ويتخيلها جنس وقله ادب وعععع مقززين بايع الكليجا,1
شدراك اللي تتزوجها اللي خاقتن انت تعلم مافي القلوب يعني,0
تمام صرمايه بشار الكلب مهي برقبتك كمان عبد السف اتفوووه الرجال,1
انا كنت امشي جنب الجدار اسوي مشاكل اعرف خمسه سته بالمدرسه كلها تدرين اتوقع محد جاهم قالوا عبده شيطان ربي ياخذ حقك منهم المرضي الله يبلانا,1
الحمد لله العالمين وين الجائزه ابيها كاااااااش هالايام مفلس,0
حكايه عشق ارخص ماعندك شرفك يهتك اقرب ههههههههههههههههههههه حياتك ماتسوي,1
اخاف العصبي,0
انا شخص مسؤول كلامي فهمك,0
منظر مقرف صدق,1
قدمت الاكل بسم الله ياكلوا معك الجن طبخك والله مايقربه جني,0
سيصيبك اصبتني انتظر هيطلع اهلك,1
اقسم بالله عيب اللي يصير,0
كميه التعب والقرف اللي فيني,0
برتااح وبطمن وانا حضنك هخاف ايه خافي ربنا تربيه وسخه,1
هههههههههههههههههههههههههههههههههههههههههههههههههههه,0
بايع الكليجا جماعه يحزن بكرا بتتزوج وزوجتك تشوفك غزال غزال المهم الكليجا شكلها,0
اقترح انك تاكل صحن خري افضل تسمعنا تويتاتك,1
انبهرت,0
حبيييييت,0
اوك هاك ومش تسحب,0
اوعي كلام الناس يوجعك فتعمل بيه اسمع كلام الناس ارميه واللي يعاملك وحش اوعي تعامله بيه,0
تجبر الواحد يتهاوش هالهديل,1
كول هوا جلادتك لمعلوماتك جبران باسيل داعس بقلبك,1
ابلع تبن وجه العنز والله الفاسده والفاسد مايحشمهم لابيت ولاعشه ولاسجن عقليتك خرا انت وياها تبقي خرا سواء طلعت ولاجلست بالبيت ماحد سالم انحرافكم وعقليتكم الزباله ابو تفكير خراااااا,1
,0
صباحك اجمل الشكوي لله مافيك حيله نايف,0
قله ادب,1
مرض سوء الالفاظ تعرفونه,0
عشان تبقي تكلم اوي سمولينغ ابن الجزمه ميسي ظبطك,1
عينه فارغه,1
الحاجه الوحيده اللي تستاهل كلمه انا اضيع بعدك امي ولما قالو ايه اكتر حاجه بتتمنيها قولتلهم تعيش امي لحد انا اموت,0
شسوي بالحب بطانيتي مكتوب احبك اني احبج مري,0
حوثيه خاينه كذابه,1
اخبار الاجانب الشهور اللي راحت كلها التحرش جاكم الشعب الكوري اقصاهم,0
كول هوا بتعرف,1
وقح مقرف لاي درجه الانحطاط وصلو,1
لاء شاء الله تبقي كويسه وتستقري قريب,0
انا بتعامل معامله الكلب البلدي,1
كلمه الطلاق البعض يحسبها هياط هلااك للاسره سنابات حمدي قصه الصباح,0
فرج عامر معيرص,1
عووي وخلي صوت عواك يوصل للسما وكل تزيد عواء بنبسط بصوتك كلب وهاب فشرت ارميلك عضمه تسكت خليك تعووي,1
يييعععععع الناس اللي تنتقد وتلمع نفسها يعنني انا استحيت ورا الشاشه خلاص درينا انهم اوفرو بالموضوع تسوي نفسك اوه مستحيه وقلوب مكسوره,1
بايع الكليجا فيهم الشباب انقهرو ومستشرفين البنات خلاص صورن وحقن عنده ماهن متربيات نسيتو بنت ترامب والهنديه مصخرتو رجال السعوديه الاشراف وبعدين بايع الكليجا يجنن مشالله,1
اكره النفاق شيء فالدنيا المشكله الاشياء اشوفها قدامي اخر الايام,0
للاسف منتشره رهيب,0
نشاركك فرحك ضحكك طنبر الجاهليه,1
بايع الكليجا طفولتك تتمحور ابطال الديجيتال كونان سنعود قليل الم تكن اشرف الهراء تعيشه,0
اتعني لمشوار واتعب عمري عشان اصور,0
تعبت وانا اكتم شيء يارب راحه وتيسير الامور,0
ركبت ونزلت قريب سته مرات لدور الاخير فالمكتبه,0
ابغاها تنخمد ولما انخمد انا صاحيه هههفففف,1
بدات حجوزات كاس العالم عيدك اهلك وناسك كوره العيد مكان بعيد كلام فاضي,0
خلاصه اللي ضاع الريبورت الاهتمام مبيتطلبش,0
المراه ناقصه عقل ودين بائع الكليجا الرجل عقله كامل وكامل الدين وايفانكا نعيب زماننا والعيب فينا هالفئتين شباب وبنات قبحكم الله بايع الكليجا,1
صناع شركات الاسهم بالسوق السعودي الجحلط فيكم ذره رجوله اعملوا مضارب الصادرات الشنب,1
ذبانه اصيدها والله اربطها واركض يمها واصرخ,0
يافيني نووووم,0
لعب الكبار يكبره لعب الصغار يصغره اعلان حضران يارمضان,0
ناس بتنحب خفه دمها وشخصيتها الحلوه عندكم مثلا بفوت القلب شعبطه يلا اعترضو خلينا نخسر,0
السجاير فلستك ياوحش ربنا يتوب شاء الله,0
يستتتتتفزننننننيي,0
والله مارحت ومانب رايحه اشوف حلفت بالله واخذت بكلامها وصدقته اخاف تصير ماتحترم اسم الله حلوف الذيابي الله لايبلانا,0
الجولان ياعم جلال باعها المقبور حافظ الاسد باورقه وسخه وخد الشيك فوري,1
صكيتيها بالطاوله موب,0
ايي والله انا تنرفزت الاشكال يعني قلت ادب الولد جاي يطلب رزقه قمتو وشهرتوه وربي صرت اشوف العيال يستحون الاشكال,1
والله مصخره عيبب استحيت ونا مالي دخل حلو مانختلف الوقاحه تسونها,1
كلنا عارفين انو رومان بيفوز طريقه فوزه اللي غاثتني سترومان اللي اقصي مصارعين قادر رينز هالتصخيم عشان رينز تصبحون خير,0
كسمك معزه فضاءي يابن الوسخه,1
اكره الحياه اني اعيد واكرر لنفس الشخص,0
موجودين والمخرج حاط سمكه خيييير هالمخرج حياتك,0
شعر فاصق يمه,0
مسلسل,0
ابووه يزعلها الكلب,1
بايع الكليجا بايع الكليجا والله الفشله وقله الحياء ترند اعقلن يبنات جعلتس للذهاب انتي واياها,1
,1
لقد مليئا بال يلعن روحك حافظ,1
ازعما,0
تضرب منك اله الغريب شيخ عادي المشايخ عنا ونا بيمثل بالميه الطايفه تسال وين راحوا,1
يعد شيئا بخير قلبي تظنين امي لقد هلك كله هلك تماما,0
زحطي تفنيصه انتي بلشتي بلوك,1
شكل البنت يتقدم خطاب,0
هههههههههه,0
اكره اقوم اخوي الصغير للمدرسه الغرفه بارده ومتمسك بالبطانيه انا اسحب يسحب اطفش اقوم العيال مره نومهم ثقيل وربي ارحمه ودي اقول غيييب مايصير,0
الحته حتجي الامتحان الامتحان اذكر تعرفه الحته,0
امششششششي,1
كلب البنات دلدول رخيص,1
بايع الكليجا يحسسون الواحد انهم كانو يصبحون ويمسون وجيه تشبه الجزم شدعوه اشغلوه بنفسه,1
الله ياخذهم هالاجاشيين ماعاد استحوا يربي العاهات تطلع مكان واضح حملت اعطت لكل امراه تكشف الكلاب المسعوره بكل شجاعه وتاخذ حقها عينه دائم وابد احب المراه نصيره المراه,1
اصعب بهالدنيا طعنه تجيك اوصديق,0
ههههههههههههههههههههههههههههههه,0
قصيره قزمه,0
يسطا قالي اكدلي انك بتشرب فواكهه استرجل ياد اشربها,1
هههههههههههههههههه,0
بايع الكليجا قسم بالله السعوديه انحدار نضحك ليش وخاصه البنات فاهمين الانفتاح انحراف وديت وسكر وحشيش غلط وبنات الكلب حقات اسقاط الولايه يشوفون اللي صاير لعن ابوهم وخاصه الجنادريه كريهه الاغلب يروحون يرقمون شيء مقرف الله يلعنكم,1
للاسف حال مجتمعنا,0
ممكن اتدخل حياتك الشخصيه تعالي كلهم جوا,0
ههههههههههه انت شتبي يالمشرد هاللحين دائما المشردين والذين لايحصلون الجنسيه ينبوح الليل والنهار انت كلب مندس وتتحدث البدون مجوسي لقيط عراقي مشرد خليجي خنزير انبح واستمع بلاد الكفر,1
جروب النخبه الوطنيه فضيحه الخوان المسلمين قناه عزمي بشاره مناظره الاخوانجي الحمساوي ومحلل اسرائيلي ليرد,1
مودي ظهر مارجع الروضه,0
اساس عندك دوري نقطي انت تاريخك كله اقارنه ولد ياسر القحطاني يلا عالمستنقع يلااا كبار السعوديه الهلال والاتحاد للمعلوميه ياطحلب كبير جده الاتحاد الشباب,1
يوافقون وظائف اختلاط وبعضهم تروح بزينتها ويشتكون التحرش,1
الهه الكفار,1
انت الاخبار المجرور,1
الموت وكلنا الله راجعون انت تحمل ظهرك الجنازه وبكره تجي محمول صلاه الجنازه القادمه انت,0
نذل,1
ههههههههههههههههههههههههههههههههههههههههههههههههههه يخرب عئلك تبعهم العنزين,0
شركه سامسونج شركه بنت وسخه وموبايلاتها اوسخ موبايلات المجره,1
طيب يلمع الشعر والجزم والريحه حلها,0
انا حتجوز علشان الرجاله ملهاش امان,1
رساله السيسي بالزي العسكري تنالوا عزائمنا الشعب المصري ظهير الجيش والجيش المصري حامي الحمي سينقض عليكم برا وبحرا,0
ايطالي معزايه اختارو دخيل معزايتك احلاها وقت ترعي بالتايم وتلملم اكلاتها,1
حرفيا حامت كبدي واحس بستفرغ قرات ثريد تهجين الحيوانات الانسان,0
الجو الذباب مخررب,0
غلابه اوي شقيق,0
ولماذا التعبير نويقصات لماذا لغه التحقير انني اتفق طريقتهن فعلن مجرد التصوير والتعبير اعجابهن مثله الاعجاب باي شخصيه مشهوره لماذا يحرم المراه السعوديه شيء وكانها جريمه المقطع مايعيب انهن يحادثنه,1
غيرو الفتنه ماجور حقو فرك ليعمل فتنه وهاب البرميل,1
بلبنان اوطي صنف,1
محنت محنه يامتعلمه يابتوع المدارس بعدين ترا شيء فووق ارفعي نفسك شوي عيون شافت شيء جميل جميل اناء بما ينضح تفكرين الكل حياته باسته مثلك محصوره بذا البؤره,1
قطيش كلب الحراسه وظيفته ينبح حمايه لاسياده واولياء نعمته يكرمونه بالعظمه اخر النهار,1
يقولون زان شعرها زان يومها مادري اللي قايله اشهد صادق صباحكم ناس مواصله وبتجيب العيد,0
اكيد قابظ مبلغ مرتب لسكت,1
يور ماوث,1
صدق سماهم ضفادع,1
الله يزلزل الارض تحتكم ويخسف فيكم الارض ياعيال الكلب,1
اوشك صبري النفاذ,0
حرام تلعبون دوري الابطال مستواكم,1
جعانه الكلاينت ممشيتش دقايق هطردها اعذر انذر,0
ياحومه الكبد,0
تقصد جمال ريان صديق الشاذ اسامه فوزي طويله يطعن بعرض موزه وحمد بالكتب يؤلفها وبصحيفته وبقناته باليوتيوب دياثه,1
هههههههههههههههههههه حتي بطاقته جبتوها لامستحيل الله المستعان بائع الكليجا,0
شوفت ابوك مضايق امسك خدوده وقولو الكتاكيت الحلوه متعصبه ليه جربها تسافر تتعالج نفقه الدوله,0
هات يفهم هالحمار,1
والكذاب ملعون كثير اسمع كلغو دارج والي استخدمته انتظر الساعه مقاول كذاب وتاكدت ملعون وكذاب اصراره انتظر ساعه وانا موجود انتظره المكان كذاب مضطر الله يلعن الكذاب,1
بايع الكليجا ربي الهاشتاق يجنننن كله غيره ههههههههههههههههههههههههههههههههههههههههه اخيرا شفنا فيكم,0
بايع الكليجا بنات المتوسطه مشكله الوحده تبلغ تقعد تمحن طول راحن اللي يتدرجن بالصياعه,1
كول هوا وتابع بصمت,1
نصاب لااحاد يشتري تفو يالجزمه,1
صحيح انك انسان وضيع,1
للصبر حدود اخي وخساره البف باف,1
انتصرناوخذلكم الله ياكلبه البعث المارقه ياابنه اقذرواسواء عرفت البشريه تاريخهاالحديث انتصرناولازالت عراقكم تان جراء لعنه الكويت دمرتكم ولازلتم اللهم لاشماته قتل وجريح ومغدورولاجيء ومعذب عساكم هالحال واردي,1
تاني للقرف,1
شرد المطر وسحاب وسبه صدعتكم انتوه نفاف وكذا سويتو الله يعين يطيح ثلج,0
شريره صاحبتي,1
جبران باسيل حطرني ليش حيوان,1
لاتتكلم اسيادك ياطحلب تراك وضيع وتاريخك مايجي ربع تاريخنا,1
بايع الكليجا اوفر يابنات اعقلوا,0
دوب,0
الله يحوم كبدكم وياخذه معكم تعدوا الرخص,1
اجيب المقاول واصب بدل العمود,1
الصخب عموما,0
تتعرف حدا بتحسو معزوفه نادره هادئه بلحن رائع اخر بيطلع تيرشرش بلا مزح,1
تبارك الرحمن,0
مبحبش يحب انا بحبه عشان انا بغير,0
تصبيحه لمن تصحي النوم وتشوف الرساله حقت ساهر بمبلغ مره اخد ساهر,0
تويتر ليه تحذف متابعيني انا شنو مسويه ليه تكرهني مرت ابوك انا جاوب بينا ثار بينا علمني ليه هلون ليه,1
كثر مايضربون الامثال فيني تكسرت عظامي,0
الشعب اتوقع يحتاج تعقيم هالنظام الزفر,1
يعني انت هسه نايمه وكلشي ينكتب ماراح تشوفيه الله يطيح امريكا وتوقيتها,1
الفلسطيني والاردني كندرته شرف رءوسكم عبيد اليهود انذال خربتم الوطن العربي وانتم كالبهاءم تعلفون والعقل معطل,1
الانتر صدق كذب لاا اؤمن هاذا الحب,0
ابجي اني الحلوه اخيرهم,0
الحشرات متلك هيك لازم يتصرفوا,1
يالله والله مصخره السنين تصريحه الغبي,1
هودي حكيت عنن كلن موجدين بتفكيرك وعقلق انت مفتن ومخرب والماجور وضح اكتر للقطري حيناديلك,1
شوفي المصخره,1
هانت يجماعه فاضل شهرين وفبراير يخلص,0
تخسيييي هاذي اماراتيه,1
لازل العضو الحقير الحوت يزرع الفتنه الشعب اعتقد اوسخ عضو تاريخ المجالس قدام الشيك يصير كثر ماتقول قذر اشويه,1
كنت مكذبها جمله متاع بغمزه انطيح خمسه لاكن بنقلا اتطيح شعب معيله هذي,0
انا صحيت بدري جودعااااان هروح الشغل فميعادي ياخوناااااااا,0
بايع الكليجا بفهم مهرجان تراثي قله حياء قسم بالله بنات اخر زمن شفاحه وجهه مغسول بمرق نعنبوتس ماحترمتي نفسك احترمي اهلتس ربوتس وتعبو عليتس الرجال استحي وجاي يترزق الله وهن اشغلنه حسبي الله عليهن الشرههه ابد مهيب عليهن الشرهه مخلي الدرعا ترعا,1
بنظرك زين,0
والله محد خان نفسكم يالدواعش يالعبييييييد بتعيشون وبتموتون عبيد ابناء عبيد احفاد عبيد لاقيمه كرامه تذوقون طعم الحريه والكرامه مجرد بهايم مدعوسين الراس والكرامه,1
طيب الافريقي اهانه سبه اسم قاره اسيوي اوروبي ليش الناس صايره حساسه,0
الاصيل يبقي اصيل طال الزمن وظروفه,0
يانصاب هالشي توه يايك ولد ماامداه يكبر,1
الرجال مستحي والبعض ماعندهم حياء,1
قسم بالله شبيه الرجال هاذي انهم يتميلحون,1
اقرف قهوه ذقتها بحياتي ريحتها بدت تقلب معدتي الطعم تكرم النعمه للحين غثيااااان,1
غباء اولا الجيش لباسنا والاشكال اماراتيه وثانيا نحنا مانقول ايه يالبغام العبوا غيرها,1
بايع الكليجا كرهي للي ينزل فيديو يتفلسف,0
نتيجه اللي كمان يومين ملحقنااش ناخد نفسنا,0
ماننطرهم يردون يردون والي ننطرهم يردون مايردون,0
سواقتي احسن عبدالعزيز لاتفوووتكم ريتويت الله يسعدكم,0
لاتضحك تري ادعي ضيعتكم مايجيها مطر,0
اختشي يالمسترجله,1
بيخود شيدا,0
خلاص هالسخافه صدق العقل نعمه مره تشوفون شخص حلو الله يعظم اجره هالمصخره وقله الحيا وجع فشلتونا الله يبلانا ويمحق اشكالكم بايع الكليجا,1
والله اعطيتوني المبلغ ماارسلت ربع رساله فتاكدوا معلوماتكم المغلوط صدقني مايوصلني المبلغ انا امسح الموقع جوالي للابد تبغي,1
اطلع تعمر,1
يوصل ترند تفاهه,1
مصر فيهاا ايه عصابه عاوزه الدبح واسمها حكوووومه وزيره الهجره المصريين بالخارج عايزين يصوتوا بدمائهم ويبحثون مشرط وانتي الصادقه احنا بنبحث ساطور نطير رقبه امثالك جري ايه حاجه صوتوا عليكي ساعه وسكتوا شيخه,1
بايع الكليجا تاق تافه وكل اللي مغرد تافه ييع اتفه تاق وشوشره روحو موتو,1
اجمل كون طله الح ياه امراه عرف ريد تعرف حصل ليه,0
المتوسطه والله جاني ضرب مدرس الانجليزي ودي اروح اخذ حقي افضح معنفك,0
النوت بتاعتي هند بقالها اكتر سنه وانا قالبه الدنيا,0
يصنع غرور الب والسبب اننا عطي قيمه قيمه,0
سواقي يقول مدام قصو نفر حرمه رجال مدام مافي كثير واضح داعشي صغيرون جالس ينشا داخله ياخي انت رايح تاخذ عظه وعبره تزعل عشان المقصوصين قليل,1
نجح الموضوع الله بكون بفضل الالف الشاول الاكسوال يجيب سيرتهم,0
شهيدات الكويت اثناء الغزو العراقي الغاشم قاوموا الاحتلال بجميع صوره تعذيب الشجاعه المقاومه الكويتيه الخليج العربي,0
اسكتي طلع بيتطلب عادي والله وباطلبه اهو اقول ايه عالم جبله,1
خليها تحبني خوووووو انتي التوب,0
فيلم تدور احداث الفيلم دربه تحاول نسيان ماضيها وقضاء شهر عسل جزر الكاريبي تنقلب الامور اكشن جريمه اثاره رابط المشاهده,0
الرمال بالرياض ابراج اتصال اطلع الحاره عشان اكلم,0
مصروف ملايين الملايين تحسين وضع الكهرباء وحتي زلنا عتمه السياسه والسياسيين العلم لازم بناء معامل وللاسف نسمع استئجار بواخر وصرف الملايين ليش كهربا,0
ههههههههه والله ماقصدي انت,0
مدري نفتك ورعنه اصاحب المنتاجات والله مسلسل تركي المقاطع عيييييييييييييييب عييييييييييييييييييب تادبو,1
اسوا لحظه الدوام وينكب مكتبك الشاهي ويجيك يستفسر شيء تحس ودك,0
لازم انتي بنت تخافي ربك خليك عيني اقصد العينات اللي شفناها مره افوه,0
بايع الكليجا ياختي مردك وتطايرين العالم وتخمخمينه تالي الليل وتغارين وفوق تغسلين سراويله,0
جماعه انا كمان بشوف عباره يلعن روحك حافظ مبتذله ومسفه وتظهر عجز المعارضه المتاسلمه وارتهانها للماضي وافضل استبدالها بعباره خراي قبرك حافظ,1
الله يعينها امها داعيه,0
يقول اشلون قلت هلون ونبدا اللقاء دخلت تويتر وانا اصارع اكاد اقف تتوالي الضربات نهجي,0
حاقد سفيه خاطبك السفيه فلا تجبه فخير اجابته السكوت,0
ذهبت تشتري فستان فاعجبها حذاء فاشترت حقيبه هكذا النساء ويجيك يقول ابي وحده تفهمني تفهم نفسها بالاول عشان تفهمك,1
فرق التوقيت يقتل الناس بتروح تنام عندهم واحنا عندنا بيقومو النوم تكريم رناسماحه بنيويورك,0
قلناااالك يريوور ليش ماتسمع,0
دايم اسويها احس غجغجغج,0
سان وال وال,0
شخص يمثل وانا بالنسبه مايشدني العفيفه المحتشمه والكفو غيره جرد,0
ترند,0
شكر قطر وهيدي الك معفن,1
تشم ايه دنا بلاستيك,0
دعاتك والسعوديين السعوديين وامه محمد كلها الكلب القمص زكريا بطرس وامثاله المتطاول الرسول الله وسلم وصحابته الكرام ولاتنص نفسك ناطق لدولتنا مايزعجك دعاتك خرجوا باختيارهم وتحدثوا,1
,0
يلعن صباحك وجه الشؤم,1
ابالي للتافهين ففي النهايه يبقون اسمع يوما اعتدل ذيله,1
سدو خروف قوي نبضك هلق العقاب لوهاب وهاب قاتل ابو دياب,1
بايع الكليجا هذولاالبنات اللي يصورونه مافيهم خجل طيب واللي معاهم الرجال ينكرو تصرفاتهم,1
اشوي لاني كنت بجلدك,0
ويزعلو قلنا ضفادع,1
دحكي لكم شعر اسمعو شفت القمر ناس قدام عيني جيت امسكو وتاري مسكت المرايه كلمه اهداء لنفسي,0
انت نوري ملاك نهال راين شهد ويسو ومنال بنت شهد طولهم وسط البقيه سنافر الفراشه مشكوك طولها,0
مايغثوني الشباب يشيلون شنبهم ترا,0
وقاااحه,1
ماهزت شعره رؤوسكم وتميم والوزير نامق يلفون العالم يبكون يقولو يتم غزو قطر النباح تركناه لكم قناه الخنزيره فهي لسان تميم القذر واذا محنا كفو انتهي الحال بكم,1
تميم قايدنا وحمد عدونا يجي الرياض وتضبط اموره ملك الحزم عون يطلب العون الغطرسه نهايتها وخيمه حنا العوجا,0
بايع الكليجا ارتقوا بانفسكم الله يفشلكم,1
الله يلعنك مكمان انت وافكارك اللي تقهر,1
حكايه عشق ارخص ماعندك شرفك يهتك اقرب ههههههههههههههههههههه حياتك ماتسوي,1
فيك مستشر,0
خنزير خبر مفرح,1
وجهي الطماطه الفشيله وودي الارض تنشق وتبلعني فشلونا الله يخسهم,1
يلا تافهه,1
تري مصختوها سمحنا لكم تختفون حياء وين احترام المشاهد يتابعكم,1
مالك باشمهندس الخير بتق,0
السلام واجب بفلوس,0
روحت اجيب نتيجه درجات ابن اختي لاقيته ناجح الدين الرسم يامشرفنا,0
بايع الكليجا منظر البنات وهن متجمعات حوله منظر مقزز اعوذ بالله ماتدري الانثي عزها بعفتها وكبريائها وعدم الالتفات لاي,1
توني اتذكر اني ضيعت بطاقتي الجامعيه صارت بطاقتي الاحوال صفقوني بالله لين اعض الارض,0
ويلا غور ياض وشي,1
الن الن بايع الكليجا,1
اهلن,0
هيدي صوره المجتمع المدني نفاق المجتمع المدني شايفين سعد الحريري بوجهن,1
قققققققققررررفف انسحب فريقكم الخفيف انا ماوكلي,1
مره عطوه حجمه تخلف قسم,1
بايع الكليجا اللهم لاتواخذنا بما فعله السفهاء منا,1
المفروض يدفعوهم غرامه يعقلون,0
شفت زعلت,0
علاه ولد عباس يشبه لسلال ترامب وجبيها بلادنا تقول شاف شوفه مليحه معاق ذهني اخر زعما خلاصوا الرجال جدك الحشيش يتنفس يخي ناس نوضوا لشاز سبيل تنفس العشب الشعب كيما تحبوا,1
للاسف اشباه رجال ماعاد رجال احترامي للقليل الباقي,1
اعرف وضحي الحروف يعني لازم نرجعك للابتدائيه نعلمك الحروف جديد,1
عاجل الرياض الممكن اجازه الرياض,0
الصديقه اللي تسحب بكلاس الصباح اسحبي,1
كنتي عندها عارفه تفاصيل موضوعها,0
الظاهر اني اتاخر المحاضره اللي اصلا صاحي بدري عشانها حياه الفل شاء الله,0
اشباه الرجال حسبي الله عليهم,1
واااااع وااااع,0
داليا مبارك احلام زفتهاصايره امه للكل احلام وين هلها اللاخت داليا الطيور اشكالها تقع سويده اخذت عبدمثلهاالله يثبت العقل والدين,1
مره عابد نكته قولت بضاني بضاني بضاني بضاني بضاني بضاني بضاني,1
بالله طيب خلاص سكر الموضوع,0
جدك,0
ليه التحجيم اخي قول اللهم افرحنا يفرحك قدره جلاله قدر دعوتك,0
افتخر اني عنصريه واحارب اهتمام وسعاده الناس مثلك عشان يجون يمدحوني السلق,1
شوف درندراوي ولدي بلغه بتوع العربيات الميكانيكي الكهرباءي السمكري كمان البياعين الاهلي عايز عمره كامله عمره يغير الموتور كامل ضفيره الكهربا الرفارف الابواب الكبوت الشنطه يحافظ الشاصيه,1
الرحمن عرفت بنات بدايه,0
كيكه السينابون نجحت دعااان المكو نات بيض كوب ربع سكر كوب زيت كوب حليب ملعقه فانيليا ملعقه كبيره بيكنج بودر,0
يطلع الهاشتاق ترند الاختبارات والحلطمه تصير مشكله انوا مثلا سقف مبنانا طاح مرتين يصير لكم صوت,0
خراس ولاك,1
طلعت المساله بمهندس الصوت ضحكوا علينا تري احلام بتغني,0
ضحكت سرك اها وخر عني اها طيجك,0
اقول ليتهم نامو ذيك الليله ابرك,0
الماي بارد,0
بلعنه يالعصيمي اللي تلعنك شاء الله تزوج بنتك كلب اهم لاتجي بعدين تسحبهافي المحاكم عشان عيالها يتجنسون سعوديين,1
ظروف,0
هاك استلم الهنداوي مهندس قانون رفحاء,0
كول هوا خسرتو بارضك جمهورك منعت القطريين تشجيع جمهورهم انتو فاشلين وهم متفوقين,1
بهيك اوطان حكامها عملاء بحكام العرب المحيط الخليج,1
دخلت صفحتك وعرفت انك اللي مشغلهم نظام الحمارين كلاب تنبح السعوديه,1
يحبك عمل هيك,0
ياكرهي النوعيه وجع قرف,1
وانت روح بلاليط وكبتشينو بينونه ذباب دحلان,1
ثقه عمياء بمحلها وووععع,0
لازم اشك الحي متحم قرف مدرس تنا,1
مظفر تبع سيريناي اللي طلعت تنفي اخباره منتج فيلم فيلم الجزمه,0
المحنه يحماره,1
افضح معنفك المجرمين التاق المعلمين والمعلمات كثير قصص قراتها مؤلمه ومحزنه تصدر شخص تربوي الاباء والامهات جعلوا اولادهم وبناتهم امانه عندهم,0
فعلا ولن اسمح,0
فيك تعمل ماكياج للع معالي الوزير الماكياج بيلقط عالعفن,1
شوفو هيءه الترفيه ذكور اشباه الرجال شوفو ترفهون اله حماه الوطن وابطال الوطن تحيه لكل عسكري رتبه جندي رتبه خدام المليك والوطن,1
مخك عباره مجموعه بلوعات,1
يلعن شكله تشانيول خير يسوي ببيكهيون كانه غلطان هوا,1
بايع الكليجا اوفر مره الوضع بكل مكان سيرته,0
مين بيتجسس زيه محارمه يجي خااص رتويت,1
سعوديه الاصل المنشا المطالب طبيعي انسان وتوجهات الدوله الحاليه باذن الله لمصلحتنا وللاسف الم عارضات بيتمتعون,0
بايع الكليجا اوك الله جميل يحب الجمال يوصل تسوون استحوا وجيهكم يامال التبن مره اللي قاعد يصير فضحتونا العربان الله يفضح العدو فشلتونا تقل شفتوا خير بلا شكلكم,1
الحمدلله اعقل الناس شفت العجب بالمتوسط اذكر بدت ظاهره البويات اللي تحب بنت تعال شوف وجهي وانا اتقرف منهم تخاويني وتخاويني وكلهم مبزره,1
مشكله البعير مايشوف عوج رقبته بالله اصص قسم كميه قرف المستشرفين ذول كرهوني بالمجالس مايخلي وحده مايتغزل واول مايشوف سعوديه تغزلت بواحد ماترك كلمه وصخه مايقولها الدعوه صارت مناقره المستشرفين والمستشرفات,1
مؤلمه الدمعه تسقط وانت صامت تسقط شده القهر والالم والاحتياج,0
اسمح تغلطين عالافتار,0
سرقوا الكوره كيسكم طحالب,1
هيك نكايه فيك بهلول استاذ فلسفه ناغص عيونكم جبران باسيل موتوا قهر,1
قسم بالله مجتمع البنات يجيب الغثيان طبيعي القيل والقال تعاشرينهم اساس انهم يطلعون,1
والكذاب ملعون كثير اسمع كلغو دارج والي استخدمته انتظر الساعه مقاول كذاب وتاكدت ملعون وكذاب اصراره انتظر ساعه وانا موجود انتظره المكان كذاب مضطر الله يلعن الكذاب,1
اقول انثبري بيبيتتس وحوشي عيالتس وعينتس للبيت والمطبخ والواتس,1
عيل كثري الكوكيز هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,0
هوهوهوهوهوهوهوهوهوهوهوهوهوهوهوععوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوههوهوهوهوعوهوهوهوهوهوهوهوهوهوهوعوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوعوهوهوههوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوهوه تسمحيلي عمتي وتشرفيني بتفله,1
تضرر معلمي حذف رغباتهم الله رغباتي استودعتهم الله لاتضيع ودائعه,0
