Tweets,HS
بايع الكليجا اعطوه اكبر حجمه فعل تستحي فاصنع ماشئت,0
بايع الكليجا اقول انثبرن تراه متزوج واستحن وجيهكن ماعاد حياء,1
تتكلمين اسيا يختتيي وانتي ماوصلتيلها,0
احلي شعور اوسع خرقك الضيق بزبي الكبير ياديوث عمه كسي ديوث دياثه ممحونه كلبه كلب عمتك ساديه سال,0
انتف كلام سيلم القناعه مهمه اخوان,0
لاحول بالله العلي العظيم,0
ماشاء الله انا لمن كنت الثانوي اطلع الساعه,0
عبدالعزيز وجعععع صراحه,0
يالله خير اعتقد انتهينا نظام تدور الشهره ظهور البنات عهد ابراهيم صالح ناهيتكم الاسلوب الوضيع بالطرح وكانه اسلوب بالله فكونا تكفون هالاشكال وبعد يومين تصايحون علينا تريند حمله تبليك مشاهير وجعلتوا الحمقي مشاهير,1
طيب الله يسعدك تجيب طاري الدين سمحت,0
بايع الكليجا الله يفشلكم يابنات والله توم كروز الحين القصمان يشوفون انفسهم,1
سامج يجيب المرض,0
ياثقل دمهم,0
الله يحرقهم جميعا الشغالين المحطه يخلص المونديال ينحرقوا تنحرق المحطه يصبح الجميع سعداء,1
ادفع واحصل الجنسيه التركيه واخرتها معلم شاورما حلاق,1
بدعيلك انتي تطولي الغيبه الصبح هالضرب هههههههه شايفه دعاء ضرب هههههههه امزح معك عيوني انساكي دعائي انتي تعرفي قيمتك عندي كبيره السماوات والارض يرضي عليكي يفرح قلبك,0
اصرخي اصرخي وابكي يكلبتي مستفحله قدامهم وبالغرففه تشكين تعذيبي ونيكي فيكك بروضكك واهينككك لحد ماتخضعين الكلبه,0
الاغاثه التركيه الحماقه كذب متعمد يلعنكم ويلعن والاكم,1
اللي عندك اسمه اشهب الومك يالاسبانيه توفرون السواق كثر الله عينتك,1
ناااااار وين العماااات,0
يااقلبي تحززنننن,0
حاول مره ثانيه يااصغير لمن اتكلم قطري كاني انكلم جززمتي الله يكرمها عنك,1
حقين السحليه البناتي خربوا الجو,1
صلاه الجنازه القادمه انت عوذا,0
الحين تكتب تصير عنصري وتكتب خدم حمار انت حمار فريقك تعبت اربيك واربي اشكالك صغير الرياضه اششش الحوش يالله انت وربعك وخل المنصات والبطولات لعمانك بلوك كبر وجهك رخيص ادعائي مسوي ضاغط مشخوط تويتر ارضه,1
اطلاق بنجاح زلنا نمنع انسان رياضه شاطئ ربنا بلا شرشف اسود الله يلعنكم عمري اللي ضاع بقوانين همجيه,1
والله فيكم مرض مستعصي الوصايه اتوقع مالك دخل اخق مين وامدح مين نكته انت دخل القبيله احمد المطيري خروف التونسيات يمثل قبيله مطير الله يلعنك نبحت بالكومنت,1
بايع الكليجا قله ادب ووقاحه الداهيه منهم امهات مربيات اجيال الله يستر اللي جاي,1
مساكين الفقراويه هذي المباراه شكل اللي سلمهم الكاس ابوجعفر المنصور قرن عايشين صدق فريق فقررر,1
كول هوا ولاك درزي الكلب,1
ساتر انا ارجع لهالمكان,0
تخش البيت غيرما تخبط,0
مساعد جزار بينفع,0
بايع الكليجا واقع نظرتي للمجتمع السعودي هذي نتيجه وافرازات يفعله الشباب السعودي ارفعوا قيمه اللي ماتسوي التاليه الغنم افاق السماء النساء الغير السعوديات قديما القنوات ومؤخرا السوشال ميديا وحركوا غيره البنات السعوديات المحجبات العفيفات وهذه رده فعل,0
حبيبي كنااافه,0
اشوفها كذبه استغلها الذئاب البشريه الغريب راجعه بقوهبديرتنا نظرا لانو الزواج التقليدي مشاكل فيفكروا طبعا اناضد يبيها يدل بيت اهلهاوهالكلام قلته لبناتي معقده غيره الصح مابيه يلعب ببنتي وبعدين يرميها,0
وووووييييعععع,0
خقيتوا بنت ترامب وعادي حنا نخق بايع الكليجا الله لايجزاه خير جاب هالفكره والمقارنه المغلوطه والله ماتقولها صايعه تبرر فسادها تدربي راسها حياك وحشمتك وعفتك لايستفزها وقبل تذكري ربك بيحاسبك,1
انتي وياها جدك تقارنين بينك الشباب اللي خاقين بنت ترامب الجاهليه والرجل يتغزل بالنساء جديد تجين انتي بدون حيا وبدون تربيه وتقولي عادي اتغزل وين الحيا والادب عيب انتي وياها واللي تعزز بايع الكليجا,1
معليه الوكيند يصير خير,0
بايع الكليجا وجع حياء هوا استحي وانتن,1
امه ضحكت جهلها الامم بايع الكليجا,1
القاسم المشترك الملحد والحمار لتنين بشنهقوا,1
بايع الكليجا شكرا بايع الكلجيه اضهرت لنا معدن الساقطات,1
وصلت,0
كلهم يقولون اني طيبه,1
تغطي الرجال وخزياه بنات شفيكم شايفين خير مرا مرا تفشلون,1
بايع الكليجا بايع الكليجا والله الفشله وقله الحياء ترند اعقلن يبنات جعلتس للذهاب انتي واياها,0
كنت عندها عارف تفاصيل موضوعها اكيد ماناشدت تعبت وانهد حيلها والشي بالنسبه للمناشدات الله يحط الناس رحمتك انت بنعمه احمد ربك وقل خير اسكت وسيله مستضعف بيوصل صوته,0
خروفات,0
غثيث والله غثيث,0
برتااح وبطمن وانا حضنك هخاف ايه خافي ربنا تربيه وسخه,0
يالله اللحين فقراري ظريف ملك التلاعب بالالفاظ اقعد قول حمدالله,1
يعاين حبيبي روحي الابل والنياق يلعن اللهجه الخرا انك سايقه الشرف علينا لهجتك طيز,1
علينا الدعاء وعلي الله الاجابه خنزير الله جبار قهار المبارك اقصم ظهر سعود ودمر ملكهم واخزيهم واتباعهم الدارين,1
قسم بالله شكلو عاااادي جدداااااا لدرجه الوساامه ياخروفاااات بايع الكليجا,1
قوم النعال وجوههم شكت النعال باي ذنب صفع,1
الفيحاء الاهلي يزعلون قلنا ضفادعع,1
صدقني لحوج نوع جنوبيه فاتنه لازم تنتبه منهم,0
خلاص انتهيتوو حوثه مجوس مزبله التاريخ تلعبو حارات السقايين الماء يجري تحتكم خلاص المحرقه,1
تقلدونا,0
والله اللي يقرا كلامك يقول بلدك العراق كله غابات وثلوج العراق كله صحراء ولولا النفط عشت عراقي اعرابي حافي عاري,1
حقود ابو قلب ركب سود,0
الله الذوق,0
اشششين احساس احساس الدوخه وانا جالسه يالطيف الطف,0
اعيد سناباتها مليونننن مرا,0
هءلاء خونه انت فرنسا مجرمه تدخلوا شءون السودانين تسقط الحكومه العسكريه يسقط لتدخل المجتمع الدولي,1
بايع الكليجا والله المراهقات ماعاد تركوو الرجال بحالهم يلا ياشباب اانتبهوو اانفسكم عديمات الاخلاق والتربيه صارو مايهمهم ولاع راسهم رجال الله ياخذكم فضحتوناا عسساكم االمااحي,1
انتو دخلكن لاجئين كول هوا احسنلك صرمايه خريبين بتسوي منتخبك كلو,1
بيروت عزيزتي هودي بواق فارغه وراءهم الغرب واميركا ومملكه الاءجرام وهابيه والجهل وبن ممالك ومصالح تعص ولكنهم مدعومون امثال ريفي ودريان والرافعي وهم حميعا يقبضون الخليج ءمره اميركا الحل,1
حرام عليكم شهرتو بالولد,0
والله صادقه ياروني الانفتاح بنظرهم والله يستر اللي جاي,0
انت وامثالك وحكامك وعلمائك الزنادقه خنازير دمرتم ومزقتم دول جوار بتحشيد الاف الارهابيين دواعش ومليشيات جنجويل الاجراميه وارسالهم لقتل اطفال اليمن والعراق وسوريا انتم ابوالا رهاب الله يمحيكم الارض سعوديه قتله المسلمين مجرمين يامنافقين ياجبناء ياغدارين كذابين لعنكم الله,1
اسلوبك لاسف,0
كلي تبن,0
انت تقول وتمشي وانا اسهر مانمش ياللي مابتسهرش ليله ياحبيبي,0
سهرناكم ولاد المتناكه بتوع الخمسه,1
الزمالكحسنيهاغادير جهلاوي حمار مشوفتش الهدف الصحيح الملغي لابراهيم حسن,1
لؤلؤ السماء,0
مجلس النواب مجلس الوزراء,1
العبي بعيد شاطره,0
بايع الكليجا هالشفاحه راحت تصوره وخير ياطير واذا وسيم استحي والبنات اللي يصورونه استحوا,1
بينما انتي تلبسين الضيق شخص اخر ركبه تزيق,0
الشمس جممممميله للدرجه طلعت انا قررت اطلع استمتع بالجو,0
كمان بتمعلشني,0
دام اللوبي القذر شغال كرتنا وتروح تلاعب الدلال اساسين المنتخب ولن احضرولا يشرفني احضر وعاد بلوتو مكمل الناقص,1
يعني خربت الوناسه احسبهم السعداء,0
صلاه الجنازه القادمه انت حسبي الله ونعم الوكيل الواحد يدخل يرو يطلع يتحم ربي العقل منكم,0
الناس,0
روحي انقبري انشغلي بشي عمستوي تفكيرك الخرا وتركينا تنظيراتك وفلسفتك تدخلي فينا ويلا عالمطبخ,1
بعيدا الخقه اللي دابلن كبدي قله الحياء اللي صارت اخخ ودي افلت عليهن,1
اكيد بتتكلم النظام لبنان مالها مال اهلها بالنظام مصر هتحشر انفها مصر ليه احنا اكيد فاهمين غلط اشغلي دماغك ببلدك مالك ببلدنا بارده انت بتحسي طردناكي طردناكي طردناكي,1
اتعس المباراه وانت خسران مغبون تشوفه ينزل الملعب يسلم اللاعبين يتبوسم الوضع طبيعي عنده,0
الدلع الكل انا وحشت مين بقا مين جاي يقابل الليله اتصالات نتقابل مين بيحبني هيعملي رتويت,0
وععععع طعس بدوي ريحه,1
المحنه يحماره,0
الفايده حجابك كامل وعقلك ناقص والله الفئه البنات تضحك طيب وبعدين الهدف الفايده لهدرجه الفضاوه عندهم ماخذه مساحه حياتهم بايع الكليجا,0
اضف ذالك داعم لايران وحزب اللات,1
دموقراطيه تحكي انتو النسوان ماعندكن اسمو دموقراطيه عدكن نكد واخواته,1
بايع الكليجا خلاصصص يالمشفوحات فشلتننا سمح لهن يصورن بدون استاذن قليلات الحياء حتي مستحي وهن سعه وجهه الحمددلله عافانا,1
الحيوانات وشبها ماغلطت السعودي ياما للعنه,1
بايع الكليجا قسم بالله قله حيا,0
الحين يقولون انسان ملاك,0
ولو ولد صور بنت قوموا الدنيا وقعدوها تبا لمجتمعنا الذكوري,1
كنت خدني اتريق يعم معاكو بعدين انتا قولتلي هنروح شارع الاستاد المجمع,0
القمممممممم خدمي وضيع هابط ابن الكلب الاتحادالنصر,1
الدكتوره بتاعت النهارده عاوزه طلقه لسانها عود السنان كدا حرام عليكي ياشيخه دانا وحشني العربي بسببك,0
اقسم بالله النوم مسبح عشان اطب واغرق وارتاح,0
جبران باسيل وعمه جنرال اسرائيل سابقا العماد ميشال عون يمثلون سياسه الزباله قدمها سيدهم نصراللات طبقا الخياسه,1
تقريبا عرفت اصلا,0
مبروك مصايب عسي ذكيت مشاري,0
ليا شنطه همموت ايه يعمبا يحبيبي متحووش فلوسك عاوزين نجههز البت يبابا,0
المقاطع تستفزني تميلحوا ومثلوا كلمات الاغنيه كانوا بنات شباب,0
استغرب كلب كلاب عرب الشمال المهاجرين قمع اوطانهم يجي يحاضر علينا كالعاهره تحاضر الشرف ياعزيزي الحكام بشار الحمار,1
,0
مايتابعني بتفاهم نوصل لاقسي درجات الحقد اشوف فلوووو سريع ياشباب يله بضغطه,0
ولاك حيوان بدوي بسوريا حدا بقول ديني علوي سني مندوس راسه دينا سوريا يابدوي,1
الباطن تاج راسك ياوضيع ماباقي انت تنتقص السماوي السماوي بطل كاس الملك,1
فتحه العدسه والاماميه,0
والله ترند السعوديه كميه ققرففف,1
العرب نقول للصفويين واعداء الدين سلامي نفتخر بالسعوديه وحمايتهم للدول العربيه وللخليج العربي ولبيت الله وقبله المسلميين الصفويين ماهي انجازاتكم سوي قتل المسلمين ونشر الفتن وقصف بيت الله,1
وضعي بالذااااات,0
عاااااد كثييييير كثيييير,0
النور,0
بايع الكليجا قله ادب ووقاحه الداهيه منهم امهات مربيات اجيال الله يستر اللي جاي,1
اقسم بالله انا حاسس الواحد لسه فالاجازه الدراسه لسه مبداتش منزلتش الدروس كلها بروح مدرسه وحاجه قمه الفشل الخرا والله,0
الزمالك حسنيه اغادير استمرارهم الكنفدراليه مصلحه الارهاق الاصابات وضغط الماتشات ورينا بقي بيضه حلوه انتي هتعملي معاهم ازاي ايه رايكم الحكم كيوت كده اوعي الحلال الحج,1
كلبه,0
امشي جرذ عميل بريطانيا انت مكانك الحبس شويا ربي يحفظ الجيش وينصر حفتر عليكم صعلوك ارهابي اتباع لادن ملفات سريه غبي راس السطل امثالك انت طارقه عندكش راكب الموجه شخص يطلع سيف تقعد تمجد,1
ويقولون الاسبانيات مايعرفون يشبوون فحم كله ظالمينه وبس تصويري واخراجي وتنفيذي وراح يغمن الحين,0
اكرهم حالفين يخربون يومي باي يطلعون قدامي,0
لبسها مبر لتحرش حيوان بربري مغفل,1
ترا محد بخاق مجتمع ذكوري بحت شفت وقاحه وقله حياء البنات,1
عندك الجديد قولوا تبقي تعاودلي متخليين اصلكم منعرف,0
والله يقولونه مدري تحزموا وبس,0
الله يلعن ساهر شار جابه حطه,1
هالكلام صحيح وفوزير بيسرحونه فقسم بالله اداره فاشله بكل ماتعنيه الكلمه معني اللاعب بكل مباراه يثبت وجوده ويقاتل صغيره وكبيره اخرتها يبعدونه,0
وين الانتصارات هذي كذاب دجال مرتزق عميل الامارات اسكه قول انتصار المءامره البلاد قاتل حتي وصل الحديده قوات جنوبيه تارق حقك متخبي وراهم,1
اخيييي ملك عرب واي بطيخ تخسي انت وال سلول,1
الرجال متلثم ريحه الحريم طلعت,1
الله يلعنها ويلعن نوعيتها شوي وتبكي وتحضنه لابوك ولابو نوعيتك يالساقطه تبااااارك الرحمن تفو هالصوت المخيس والاسلوب الزق لعنه,1
وزير النقل اليمني يفضح دور الامارات الاضرار باليمن واهله طريق منع مشاريع التنميه ودعم الجماعات والميليشيات الارهابيه فضحنا الله يعافيه,1
هلاليه منافقين فجاه تحبون الاتحاد,1
جبران باسيل يقودكم والجاهل شيخ الجاهليه يصفق للقرد اكيد بيكون,1
انتم دايم مدعوسين مايجلب لكم السعاده ويريحكم نفسيا شامخون الجبال الشم نشتري بالمال الفرق الاحرار والعبيد امثالكم,1
قسم ضحك,0
كدا ندا عايزا تشوفي لابن خالتك عريس ينفع كدا بنات,0
ههههههههه شنو الواحد مايغني يعني,0
وين الحلا الله يزيدنا عقل حلو ولاشي بايع الكليجا,0
تندفن معانا,0
ايتنح الهم ومتنك علينا ليش يعني لان امه انكليزيه يعتبر احسن البقيه,1
لصاحب الهاشتاق تميم قايدنا وحمد عدونا طول بالك معي معادله بسيطه يجب تفهمها انت الشعب القطري الحر المعادله تقول ضفعه الاخوان تميم ضفعه اليهود حمد الناتج بابا عزمي شريفه العصملي مهم بتجيكم الاختبار اخر سنه تنسونها,1
ههههه ماعليك بعالجك,0
والنهايه هالمخرج ربنا حينتئم منك,0
سالفه سخيفه وقناه اسخف,1
الخيانه والغدر والعماله خصالكم حارب الخونه ودواعش والعملاء ودعسنا راسكم ودحرنا اسيادكم الصهاينه والارهبين تضح جيد ساعد الدواعش وصهاينه حاربهم تزايد علينا تاريخكم يتكلم غدركم وخيان,1
افشل تلفزيون الاطلاق جماعه بري بيحضرو,0
نيتك شينه تبا,0
امشي جرذ عميل بريطانيا انت مكانك الحبس شويا ربي يحفظ الجيش وينصر حفتر عليكم صعلوك ارهابي اتباع لادن ياااا ملفات سريه غبي راس السطل امثالك انت طارقه عندكش راكب الموجه شخص يطلع سيف تقعد تمجد تففف,1
تخيل نحتفل بالتعادل فريق جزمه ابو نوران اكبر تاريخهم,1
صلاه الجنازه القادمه انت سبعك فال الله فالك,0
مداومه بالاخير اكتشف المحاضره منلغيه البارح,0
رسمتي رصاص فحم مقاس تشوفها لايك رتويت منشن ليه,0
اوعي لذيذ عسول جميل انت تنسي رءيس ناديك انت فرحان بيه اوي جزمه تركي احسن رمز رموز الزمالك,1
تشرب,0
جمال الصوره الاجمل صورت الصوره,0
اهنيك صباحي صاير ممسوح بتراب ماشفت المقطع التجمهر,0
اهخ كلنا,0
عيب ورب الكعبه عيب وخير طير وحلو مايسوا افشل اهلي وانزل مستوي تربيتهم عشان اخق انا اكبر والله صراحه البنات صارو يمحنو العلن مرض شاء الله يغبن زياده ترند بايع الكليجا,1
نادي وضيع لاشك,1
بنات هالاشكال لازم نعطيهم لقب نطلعهم فئه البنات,1
ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك,1
والنبي جدعان ترتبطو ماتقرفوناش بالفيديوهات التركي والاغاني الرومانسيه,0
هانت يجماعه فاضل شهرين وفبراير يخلص,0
اقوي يسد النفس تجلس ياكل تمر ويمصمص اصابعه ويرجع يقلب التمر ينقي يقولك شفيك تهبش هبشك كيبل كهرباء بايع الكليجا,0
رحاال يتعظون,0
وحده تمدح وتصوره وتتغزل حابه اقولك انتي رخيصه انتي انتي متربيه فيك ذره خوف الله وحياء راضيه نفسك تركضين وراء بايع الكليجا وتصوريه غيره حياتك وعيشتك والي مرحله المهانه وصلتي الله يهدينا يبلينا,1
كنت مكذبها جمله متاع بغمزه انطيح خمسه لاكن بنقلا اتطيح شعب معيله هذي,0
بعمره السوري خير لهالبلد ولك متحملبن نزوح مليونين سوري بلد بالعالم استقبل هالعدد نسبه لحجمه وتحمل تحمل تبعات اقتصاديه وامنيه وبيجي نائب سوري جربان بدل يشكر لبنان بقول لبنان استفاد ازمه النازحين طول عمركم ورح تبقوا نجسين,1
مين ايهاب جلال جوارديولا الفلاحين والعزب اهلا وسهلا ميت اهلا وسهلا اللي ماتش ليه معانا السيزون اللي فات قدام الاهلي نازل فاتح صدره يلعب بيلد بالشيناوي اللي اخر ماتش ليه بيباصي الكوره لزميله باصاها للقايم,1
مشافيييح مره يفشلوو,0
صفي الخرفان الاولين عليكم الله تستحقون الوحده صارت عار اهلها بكره تتزوجين وتتذكرين ماضيك الرجال تركضين,1
انتي ايفانكا ترامب وزوجه ترامب ابو النسوان تاليتج تجين تزحفين لاكسو وتضغطين ترمبو,1
بايع الكليجا ياوجه الله غمزه لكليجا شعب خفيف يهب,1
مانشستر ابن الوسخه يعني اروح اضحك بتوع جاساما السب اجي الاقيك لبست التعادل,1
احا الرجاله طيب ولما تريح نفسها بايدها انت فوقيها بتعمل ايه بتتفرج وتهيج كسم كده,1
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه انقلع,0
استغرب يقول سامحيها ليه اسامحها وهيا ظلمتني احسن تستقوي وهيا مالها ذنب وكمان تتهم ويارتها تتوب تلاقيها مستمره البنات اتهام ومشاكل استغفرلله,0
ابني الغالي ابني الحبيب ابني ضنايا نور عيني حرارتك برضو حتروح المدرسه,0
متخيل,0
اعاني الشخص البارد صعب النقاش لان اعصابي بتقوم تهبده شعوريا,0
نصراني ابن المجرم انت اخبث الحمار ضعفا كلب,1
افضح معنفك الهاشتاق كله يشتكون المعلمين والمعلمات ويلوموني حقدت عليهم يفرغون عقدهم النفسيه فينا مدرساتي الابتدائي الله يسامحكم,1
انت تشغل مرتك بدعاره وعم تحطها وديعه لقيس الغزعلي الصور نرفقها لقيس مرتك وئام وهاب الديوث,1
عرص احنا النهاءي انت بره بالخمسه جزء النظام نادي ولاد الحرام اسال ازارو,1
قطر شريفه اسرائيل تنظيم الحمدين هههههههههههههههههههههههههههههههههههههههههههههههههههه,1
اوف شرير افضل لعبتين عندي بالحياه بدك نصيحتي فهد اسحب الريميك العب الاصليه لانه التجربتين بغض النظر فرق كبير بالمستوي بالنسبه مختلفه اكيد الاصليه اظن انك بتندم الاخراج بمعايير دحين زال عظيم,0
خسئتم مداخله كلاب اهل الدنيا,1
اللي باصصلي حياتي ابوس قفاك ارحمني,0
اردوغان عباره ابن انيسه اخونجي,1
اتخسي انقلع حوثي قات,1
صبااح النور عاقلهه ماتروووح لمثل هالامور,0
زنجي حقير يحسب نظام العصابات ينطبق شيء,1
عقبال مانشوفك معانا بالمدرج قول امين,0
نظره سريعه الجيل الضايع صور حفل هارد روك العاصمه عبده الشيطان روحي يابلادي روحي جيل ديوث للاسف,1
اففففففف يبطون جبدي اللي يقولون شوي يبون يمرون انزين كلمات اهذب شنو شوي وتدخل فيج قطيعه,0
فضلت تبص اللي فات عمر هتوصل لحاجه حيات,0
تشم ايه دنا بلاستيك,0
جولييت اسم حسابي واول اغنيه جونغ كتبها لحالها احاسيس ثانيه بالنسبه عالم طول عمري احب قصه جولييت وروميو واسمها يعجبني اغنيه مخل بقلبي اروع كتب جونغهيون الاغاني اللي خلتني بلينقر,0
صبااح النور,1
الاتراك اقذر ناس والله انهم وصخين يهتمون بالنظافه الشخصيه يقلدون الاوربيين حتي الحمام الله يعزك الاوربيين يغتسلون نظافه منديل يمسح ويمشي تكلمت حلاق تركي وسيم قسم بالله ريحه ثمه خياااس تقل,1
هنشتري المنتج التركي الريس بالواجب ورزع جون الصميم والدور علينا نكمل بالمقاطعه المنتج المصري اهم واولي,0
طيب خلينا ماستحيتي نفسك وانتي تكذبين وتقولين انسابكم سعوديين يمنيه ياوصخه ياشرذمه الله مايحب الكذاب ليش التلزق والاحتكاك والكذب ياحفيده ابرهه,1
اسفوخص,0
صدقت جبران باسيل بالزباله ولن يخرج واعوانه,1
صدقت تفرجو يالوزاره حال المباني المستاجره بالعاصمه الرياض استلم,0
تشوف شاء الله بدون تفاصيل,0
سلامات الطيبات كذاك يروشوا الكتب يروشوهم بطول الايادي شويه احترام للكتاب اللي تدرسن,0
بايع الكليجا للاسف هالبنات بدون كرامه حيا تصوير وخقه قدام الله وخلقه تفوو الاشكال وياليته زين,1
اللحظه اللي بتكتشف انو امك بتابعك بالتويتر امي انا مخطوفه,0
عمي بعينك انتي وياها قليلات الادب فصختوا الحياء عشانه حلو طيب وحلو وبعدين الولد متزوج خاطب مملك وخرب بيته بسبتكم بتسون مخفات قسم بالله حياء تربيه,1
بايع الكليجا تتغير طريقه اكل الكليجا البنت تبوسها تاكلها الولد يدبجها ياكلها,0
بتحسها جامعه بنت,1
اوجعن افمي وانا مالي دخل,0
صلاه الجنازه القادمه انت اهدا ياعزرائيل الروح خالقها النصيحه بهالطريقه صبحت تاقك اللي وجهك الاشهب,0
يلعن قطر وحكام قطر لان لعنهم لعن اسرائيل,1
انا بصلخك والله شيشت الشايب الصغير فيني,0
بايع الكليجا فضحتونا وضحكتو علينا الخلق,0
وينك انتي الصبح ندورك,0
سوري وعم تطاول اسيادك ولك انتو بتستحو كلب صرصور هربتو بلدكن اقل نسوان وراحوا رجالنا اللبنانيي نضفوا وراكن جربان,1
انا برا نجران الهبلا,0
تفوووو سوري جربان مالنا ومالكم حريصه تحرقكم انتو واهل فلسطين,1
الله يقطع شيطانك سديتي نفسي شكلي بحول كبده الصاج,0
باتمان باتمان طال غيابك باتمان,0
بايع الكليجا قسم بالله يفشل ناس تافهه اوكي البنات قليلات ادب ماله داعي ننشر مقاطعهم ونقعد نتكلم عنهم وعن قله ادبهم,1
بدال تطبلون توقفونها حدها تتكلمون الموضوع الله يقرفكم النمران يالخرفان,0
اقول تركي بعر انت وربعك والذباب الالكتروني دليم الفلس جعلك تفدي قطر وثري ارجيل اميرها تميم المجد وشعبه الضفعه حتي المتوت نعمه الله باذن الله تعالي كاس العالم فقطر,1
الواحد كويس لحد شاف اعلان رمضان,0
انا هنتحر عشان حاجات كتير ضمنهم اني عارفه اشوفك,0
الحمد لله دحين عرفنا مين يجي عندنا الاجازات وافهم يافهيم اهل الرياض رجاء تزورونا جده بايع الكليجا,1
طيب حفر الباطن غبارررررررررررررررررررررررررر,0
ننكر انوه حلوه البنات طيروهه الزود,0
طبعا قدها وتقدر تعملها وتخسر تاني شاء الله خمسه كمان نادي الدوله واسعه قدهايااهلي,1
الركض والضحك اجتمعوا يتحول الشخص لمعاق جاار,0
تنظر بنظرات بارده هكذا ثلاجه نسيت,0
مشكلتنا الرجال شفنا قرانا تغريده البنات شيء الحب والغرام لصقناها فينا وكانها تعنينا حنا ماهو داري شاكوش مصدي تشوفه ربحان شردن ماهي داريه عنك اذلف انت والبرستيج حقك اعتذر الشفافيه الزايد,0
بلدي الذكرور نايمين والبنات والامهات بيصحوا يجيبوا العيش الامهات بيربوا ولادهم استغلال ستاتهم الدلع والمرقعه يبقي ماشي جمب اخته تشيل الطلبات ماشي فارد دراعه جيبه الله يرحمك رجوله,1
يعني بحياتهم ماعندهم اخوانهم رزه طيب جماعتهم يلعن ابو القرود اللي ماشافوا خير,0
تذكر المصعبي قروي مضيع اصلك ايدك راسك طولا صبه قريش سدي باله عليكم سمعتوا بقبيله اسمها سده قروي مروح ونتطاول خلوك تعلم القبيله,1
يعع نخلص ايفانكا وروي الصبان ونجي ميوت للكليجا والقصيم شهر بايع الكليجا,1
شيعي غزالي كذاب ربما تحسب عرفتك روح زبالتك كرهت تخاريفك حساباتك المزيفه,1
ماهو اطلع معاد الباص يامروحش الجامعه خالص انما البهدله والجري ورا الباصات مينفعش,0
طرابلس ليبيا السعوديه الباغي تدور الدواءر سعود اعداء الحريه,1
انتي كريمه وانا استاهل,0
خبرتك بطلع قلتي طلعي,0
لحوج معلقين ايش دخل امنا قصصكم السامجه الحساب منزل تغريده تعميم ماحد طلب منكم قصص مره دخلت مستشفي مره سلحت وشميت باط اثيوبي مره ومره ويجيك مدرعم ماعمره انكرف وتعب وجالس نحر حوت ويايد هالفكره التعميم,1
حلالكم,0
ياليتك ماكل تبن الله يقطع الوجه معاك يالليبرالي انتم ترمونه الدين اهلهم ماعرفو يربونهم سووه قله حياء ماهم متربين,1
ارتباط ايه اللي ينور انتي فاكره نفسك هترتبطي بلمبه ينوس,0
لايريدون الشعوب العربيه تفهم مايحاك ضدها يريدونا المعزي اللي تنتظر دورها الذبح انا ناطر ومستني,1
الجوهره يتسع كذبه تواردت,0
خلاص انتهيتو حوثه مجوس مزبله التاريخ تلعبو حارات السقاين الماء يجري تحتكم خلاص المحرقه,1
اخيس,0
قلنا تميم البرغوثي اخونجي سافل احذروه نطو اشقاءنا المصريين وقالو لااااااع شاعر وقومجي طيب يلعن بيك القومجيه والقومجيين,1
احمد السلعاوي ابو شخه المعرص بتاع فرقه شراميط الباسكت بتوعهم امبارح منزلك بوست وعاملي رئيس رابطه محبي الكيان امك يلا ابو شخه معرص انت بناديك كله متجوش صابع رجل الحسيني حتي خول,1
تكلم اجتياح الانصار لجنوبك تاكد جنودك ومرتزقتك موجودين الشمال كقوات غازيه الانصار معاهم حجه انك انت جنوبي مرتزق ارضهم يمعروك انت تسوي ارضهم قنوك حبابتك,1
محد يلعوز السس اللي بيلعوزها بخليه يذوق الويل قسما ناس ماتجيب المغثه الله خير,0
اللهم عافنا صارت الحرمه ماتستحي عيب والله احترمي الرجال وراك بايع الكليجا,0
اله يحرقك يونج فلاح ابن الفلاحين,1
كسمك لكسم امك لكسم ميكسمش كسمك لكسم الهلال شوال ابن العرص,1
هذي سماجه مزح,0
بصراحه قبيحه,0
واخيرا جحش الصليبيين يسمون مريم السلام امنا مريم جحش حرام يعني وانت مرتد كافر كلب ابن جحش تعرف اساسيات الدين تعتنقه صحيح سعودي جحش,1
لان المسجد خلفك ياتيس خطيب جمعه يطرد اليمنين والمصلين السعوديين المسجد ويقول المسجد مخصص لابناء القبائل السعوديين رفيعي النسب فهل يوجد رجل بينهم رشيد,1
ردوا الرجال,0
اللحين المتابعين طايحين بموضه جديده ماضحكت بالمنشن يطقك انفولو,0
شكله بيموت بسببكم,0
اصلن خلفه البنات بتجيب العار,1
تفكرين مره ثانيه بهالشي يويلك,0
هههههههه اقول يالعبد جيب ارجلك منك حطه رئيس عرفت دول كثير تحكمها ملوك قلت انتي دولتك متخلف حاقد حاسد دولتك الاخوانيه صاحبه قطر الارهابيه وسلمتم جزيره سواكن لاردوغان يالعب,1
تضرر معلمي حذف رغباتهم الله رغباتي استودعتهم الله لاتضيع ودائعه,0
ابو النحس عندي نموذجين اخر طلع امتحاني نموذج,0
يعني الحمدلله حبه كيوتات الباقيين,0
بنظفونها وبيرجع الغبار,0
وانت رحم تبول متعه,0
وجع بلا وجع غرقتني سعابيل صرت اتلزق,0
